Office of the United Nations High Commissioner for Refugees (UNHCR),“for its efforts to heal the wounds of war by providing help and protection to refugees all over the world”,Peace Prize,1954
Record not found / Not awarded,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.,Peace Prize,1948
Friends Service Council (The Quakers) and American Friends Service Committee (The Quakers),"“for their pioneering work in the international peace movement and compassionate effort to relieve human suffering, thereby promoting the fraternity between nation”",Peace Prize,1947
Comité international de la Croix Rouge (International Committee of the Red Cross),“for the great work it has performed during the war on behalf of humanity”,Peace Prize,1944
Record not found / Not awarded,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.,Literature,1943
Record not found / Not awarded,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.,Peace Prize,1943
Record not found / Not awarded,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.,Physics,1942
Record not found / Not awarded,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.,Chemistry,1942
Record not found / Not awarded,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.,Physiology or Medicine,1942
Record not found / Not awarded,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.,Literature,1942
Record not found / Not awarded,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.,Peace Prize,1942
Record not found / Not awarded,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.,Physics,1941
Record not found / Not awarded,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.,Chemistry,1941
Record not found / Not awarded,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.,Physiology or Medicine,1941
Record not found / Not awarded,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.,Literature,1941
Record not found / Not awarded,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.,Peace Prize,1941
Record not found / Not awarded,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.,Physics,1940
Record not found / Not awarded,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.,Chemistry,1940
Record not found / Not awarded,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.,Physiology or Medicine,1940
Record not found / Not awarded,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.,Literature,1940
Record not found / Not awarded,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.,Peace Prize,1940
Record not found / Not awarded,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.,Peace Prize,1939
Office international Nansen pour les Réfugiés (Nansen International Office for Refugees),“for having carried on the work of Fridtjof Nansen to the benefit of refugees across Europe”,Peace Prize,1938
